shipname,vessel_type,operational_risk_category_pct,operational_risk_score_final,maintenance_risk_score_norm,predicted_high_traffic,weather_risk_score_norm,vessel_label,vessel_type_encoded
77,,High,0.3257385229316294,0.7986663635674777,0,0.2871287128712871,77,0
56,,Low,0.0622211618752236,0.0341365461847389,0,0.1732673267326732,56,0
29,,Low,0.0892422977237482,0.148959474260679,0,0.1485148514851485,29,0
149,,Medium,0.2039294554455445,0.5312500000000001,0,0.1485148514851485,149,0
128,,High,,0.7161981258366801,0,,128,0
127,,Medium,0.2285483397002645,0.7618277990008817,0,0.0,127,0
125,,Low,0.1488438224949487,0.4961460749831625,0,0.0,125,0
121,,High,,0.4057740395544442,0,,121,0
118,,Low,0.0341365461847389,0.1137884872824632,0,0.0,118,0
115,,Medium,0.2161981258366801,0.7206604194556003,0,0.0,115,0
109,,High,,0.7350875896222929,0,,109,0
88,,High,,0.9403652345229978,0,,88,0
85,,Low,0.0710466867469879,0.2368222891566265,0,0.0,85,0
80,,Low,0.1074358784832582,0.358119594944194,0,0.0,80,0
79,,Medium,0.2078708257277194,0.4057740395544442,0,0.2871287128712871,79,0
43,,High,,0.0462495141857753,0,,43,0
96,,High,,0.0565451992017147,0,,96,0
4,,High,,0.4861217019978648,0,,4,0
137,,High,,0.0128817155414108,0,,137,0
