shipname,vessel_type,operational_risk_category_pct,operational_risk_score_final,maintenance_risk_score_norm,predicted_high_traffic,weather_risk_score_norm
17,,High,,0.5062948422905104,0,
106,,Medium,0.26690790331484815,0.6966237041188009,0,0.193069306930693
81,,High,,0.535590638415732,0,
63,,High,,0.5959430944115446,0,
7,,Medium,0.235235766261652,0.5910499139414803,0,0.193069306930693
26,,High,,0.6400602409638555,0,
0,,Medium,0.2517056176513282,0.8390187255044275,0,0.0
132,,High,,0.9497206703910615,0,
55,,Medium,0.24412025798632786,0.6157143913075616,0,0.198019801980198
148,,High,0.30225094392477014,0.8342358196832274,0,0.1732673267326732
142,,Medium,0.27119462738918154,0.6168533784259848,0,0.2871287128712871
102,,Low,0.11346522453450167,0.37821741511500556,0,0.0
89,,Low,0.1573786335137496,0.37608059356068346,0,0.1485148514851485
49,,High,0.3013062149588453,0.8855421686746989,0,0.1188118811881188
31,,Medium,0.21552983751723453,0.7085318016251052,0,0.0099009900990099
92,,Low,0.03842859969217609,0.06868939171319423,0,0.0594059405940594
141,,Low,0.188526834611172,0.62842278203724,0,0.0
124,,High,,0.717446055408073,0,
52,,Medium,0.24675668862635297,0.30272031522315673,0,0.5198019801980198
46,,High,0.31365658080437997,0.7979971835393523,0,0.2475247524752475
134,,Low,0.10187142259253493,0.2603634878497039,0,0.0792079207920792
147,,Low,0.01938460412306288,0.03491237677984657,0,0.0297029702970297
103,,High,0.34156626506024096,0.13855421686746985,0,1.0
75,,Low,0.05120481927710842,0.17068273092369474,0,0.0
40,,Low,0.021559923906150913,0.07186641302050305,0,0.0
27,,Low,0.19262136303991845,0.35494249726177446,0,0.2871287128712871
47,,Low,0.09125387689371345,0.14081325301204822,0,0.1633663366336633
113,,High,,0.5001400952647801,0,
86,,Medium,0.1985411379316995,0.17170478320467497,0,0.4900990099009901
83,,High,,0.7724612736660931,0,
98,,Medium,0.2767480498310992,0.9175430043874924,0,0.0049504950495049
58,,High,,0.006095811818703332,0,
53,,Low,0.1285140562248996,0.428380187416332,0,0.0
39,,Low,0.029167302119871896,0.09722434039957299,0,0.0
13,,Low,0.12037624180934263,0.40125413936447546,0,0.0
54,,Low,0.14457831325301204,0.4819277108433735,0,0.0
116,,Medium,0.20668127053669225,0.6889375684556408,0,0.0
108,,High,,0.6686746987951808,0,
71,,Low,0.17878292832346337,0.5959430944115446,0,0.0
37,,High,,0.6748380806462847,0,
158,,High,0.49403931515535826,0.6467977171845276,0,1.0
111,,High,,0.7951807228915664,0,
9,,High,0.32749516109792093,0.9183832102603965,0,0.1732673267326732
76,,Low,0.14732614669203126,0.49108715564010424,0,0.0
16,,Low,0.16888607059818223,0.5629535686606074,0,0.0
12,,Medium,0.27078273729535823,0.684787342139643,0,0.2178217821782178
135,,Low,0.12877858740350623,0.42926195801168743,0,0.0
123,,High,,0.8895008605851981,0,
95,,High,,0.0,0,
155,,Low,0.12180081271832893,0.4060027090610965,0,0.0
152,,High,,0.07740263379097787,0,
59,,High,,0.39156626506024095,0,
57,,Low,0.19021632255191018,0.6241534184073574,0,0.0099009900990099
153,,Low,0.18328997809419498,0.6109665936473166,0,0.0
150,,High,,0.1325301204819277,0,
112,,High,,0.2917123037604965,0,
87,,Medium,0.26459970486015705,0.644375253824286,0,0.2376237623762376
51,,Low,0.17324174426442504,0.5675714907824069,0,0.0099009900990099
23,,High,,0.05721208857777469,0,
8,,Low,0.1692518577303225,0.5641728591010751,0,0.0
131,,High,,0.4430079870041966,0,
120,,Medium,0.2664534496352956,0.7743167793123715,0,0.1138613861386138
114,,Low,0.16995109149469162,0.5120481927710844,0,0.0544554455445544
107,,Low,0.1171721991476256,0.24205914567360348,0,0.1485148514851485
6,,High,,0.04119927987813316,0,
140,,Low,0.13012048192771086,0.4337349397590362,0,0.0
129,,High,,0.602044541803578,0,
68,,Low,0.1795091818797701,0.4250966128665606,0,0.1732673267326732
66,,High,,0.7522683325896179,0,
18,,Low,0.06889375684556406,0.2296458561518802,0,0.0
151,,High,,0.6506024096385543,0,
146,,High,0.2884954451954158,0.9616514839847194,0,0.0
145,,High,0.47397300043547685,0.5799100014515897,0,1.0
136,,High,,0.5999144507022173,0,
110,,High,,0.04965315808689295,0,
101,,Low,0.06144578313253013,0.20481927710843378,0,0.0
72,,High,,0.22899049614607503,0,
15,,High,,0.3661920408908361,0,
156,,High,,0.9414053730449752,0,
144,,Low,0.020861222668451574,0.06953740889483859,0,0.0
117,,Low,0.0036144578313252887,0.012048192771084296,0,0.0
69,,High,,1.0,0,
65,,Medium,0.24793912492073558,0.8264637497357853,0,0.0
11,,Medium,0.2372273905749581,0.7907579685831937,0,0.0
130,,High,,0.8607435878483259,0,
90,,High,,0.5057266101442808,0,
84,,Low,0.13654618473895583,0.4551539491298528,0,0.0
28,,High,,0.8329317269076306,0,
24,,Medium,0.25952256229888504,0.8650752076629501,0,0.0
105,,High,,0.9453197405004637,0,
104,,High,,0.33923192771084343,0,
91,,High,,0.7555833088451367,0,
77,,High,0.3257385229316294,0.7986663635674777,0,0.2871287128712871
56,,Low,0.062221161875223634,0.03413654618473892,0,0.1732673267326732
29,,Low,0.08924229772374825,0.14895947426067904,0,0.1485148514851485
149,,Medium,0.20392945544554458,0.5312500000000001,0,0.1485148514851485
128,,High,,0.7161981258366801,0,
127,,Medium,0.2285483397002645,0.7618277990008817,0,0.0
125,,Low,0.14884382249494876,0.49614607498316254,0,0.0
121,,High,,0.40577403955444424,0,
118,,Low,0.03413654618473896,0.1137884872824632,0,0.0
115,,Medium,0.2161981258366801,0.7206604194556003,0,0.0
109,,High,,0.7350875896222929,0,
88,,High,,0.9403652345229978,0,
85,,Low,0.07104668674698797,0.23682228915662656,0,0.0
80,,Low,0.1074358784832582,0.358119594944194,0,0.0
79,,Medium,0.2078708257277194,0.40577403955444424,0,0.2871287128712871
43,,High,,0.04624951418577532,0,
96,,High,,0.056545199201714774,0,
4,,High,,0.48612170199786486,0,
137,,High,,0.01288171554141087,0,
